OTHER_COST,CREATES_TOKEN,numCosts,numEffects,isGreen,typed,isBlue,isBlack,isColorless,cmc,isWhite,isRed,hasX,typedRatio,singleuse_isGreen,singleuse_typed,singleuse_isBlue,singleuse_isBlack,singleuse_isColorless,singleuse_cmc,singleuse_isWhite,singleuse_isRed,singleuse_hasX,singleuse_typedRatio,tripleuse_cmc,tripleuse_typed,tripleuse_typedRatio,abilityKey,PLUS_LOYALTY,EXILE_TARGET,CANT_BE_BLOCKED,DEALS_DAMAGE,PLUS_PLUS,CREATURES_YOU_CONTROL,GRANTS_ABILITY,DESTROY_TARGET,DRAW_CARD,ADD_MANA,RETURN_TARGET,SCRY,DESTROY_THAT,SEARCH,GAIN_LIFE,MINUS_MINUS,DESTROY_ALL,FIGHT,PLUSX_COUNTERS,DEAL_DAMAGE,EXILE_ALL,ARTIFACTS_YOU_CONTROL,LANDS_YOU_CONTROL,EXTRA_TURN
"",true,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,7.0,false,false,false,0.2857143,7.0,2.0,0.2857143,"Garruk, Apex Predator2",true,,,,,,,,,,,,,,,,,,,,,,,
"",,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,7.0,false,false,false,0.2857143,7.0,2.0,0.2857143,"Garruk, Apex Predator1",true,,,,,,,true,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,true,false,5.0,false,false,false,0.4,5.0,2.0,0.4,Ob Nixilis Reignited2,,,,,,,,true,,,,,,,,,,,,,,,,
true,,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,true,false,5.0,false,false,false,0.4,5.0,2.0,0.4,Ob Nixilis Reignited3,,,,,,,,,,,,,,,,,,,,,,,,
"",,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,true,false,5.0,false,false,false,0.4,5.0,2.0,0.4,Ob Nixilis Reignited1,true,,,,,,,,true,,,,,,,,,,,,,,,
"",true,1,2,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,5.0,false,false,false,0.4,5.0,2.0,0.4,"Freyalise, Llanowar's Fury1",true,,,,,,,,,true,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,5.0,false,false,false,0.4,5.0,2.0,0.4,"Freyalise, Llanowar's Fury2",,,,,,,,true,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,5.0,false,false,false,0.4,5.0,2.0,0.4,"Freyalise, Llanowar's Fury3",,,,,,,,,true,,,,,,,,,,,,,,,
"",,0,0,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,5.0,false,false,false,0.4,5.0,2.0,0.4,"Freyalise, Llanowar's Fury4",,,,,,,,,,,,,,,,,,,,,,,,
"",,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,true,false,3.0,false,false,false,0.6666667,3.0,2.0,0.6666667,Liliana of the Veil1,true,,,,,,,,,,,,,,,,,,,,,,,
true,,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,true,false,3.0,false,false,false,0.6666667,3.0,2.0,0.6666667,Liliana of the Veil2,,,,,,,,,,,,,,,,,,,,,,,,
true,,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,true,false,3.0,false,false,false,0.6666667,3.0,2.0,0.6666667,Liliana of the Veil3,,,,,,,,,,,,,,,,,,,,,,,,
"",,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,0.0,false,false,false,0.0,false,false,false,0.0,0.0,0.0,0.0,"Gideon, Battle-Forged2",true,,,,,,true,,,,,,,,,,,,,,,,,
true,,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,0.0,false,false,false,0.0,false,false,false,0.0,0.0,0.0,0.0,"Gideon, Battle-Forged3",,,,,,,,,,,,,,,,,,,,,,,,
"",,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,0.0,false,false,false,0.0,false,false,false,0.0,0.0,0.0,0.0,"Gideon, Battle-Forged1",true,,,,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,5.0,false,true,false,0.4,5.0,2.0,0.4,Chandra Nalaar2,,,,true,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,5.0,false,true,false,0.4,5.0,2.0,0.4,Chandra Nalaar3,,,,true,,,,,,,,,,,,,,,,,,,,
"",,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,5.0,false,true,false,0.4,5.0,2.0,0.4,Chandra Nalaar1,true,,,true,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,5.0,false,false,false,0.4,5.0,2.0,0.4,"Jace, Unraveler of Secrets2",,,,,,,,,,,true,,,,,,,,,,,,,
"",,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,0.0,false,false,false,0.0,false,false,false,0.0,0.0,0.0,0.0,"Chandra, Roaring Flame1",true,,,true,,,,,,,,,,,,,,,,,,,,
"",,1,2,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,5.0,false,false,false,0.4,5.0,2.0,0.4,"Jace, Unraveler of Secrets1",true,,,,,,,,true,,,true,,,,,,,,,,,,
true,true,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,4.0,false,false,false,0.5,4.0,2.0,0.5,"Kiora, the Crashing Wave3",,,,,,,,,,,,,,,,,,,,,,,,
true,,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,5.0,false,false,false,0.4,5.0,2.0,0.4,"Jace, Unraveler of Secrets3",,,,,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,4.0,false,false,false,0.5,4.0,2.0,0.5,"Kiora, the Crashing Wave2",,,,,,,,,true,,,,,,,,,,,,,,,
"",,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,4.0,false,false,false,0.5,4.0,2.0,0.5,"Kiora, the Crashing Wave1",true,,,,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,1.0,false,false,false,4.0,false,true,false,0.25,4.0,1.0,0.25,"Chandra, the Firebrand3",,,,true,,,,,,,,,,,,,,,,,,,,
true,,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,1.0,false,false,false,4.0,false,true,false,0.25,4.0,1.0,0.25,"Chandra, the Firebrand2",,,,,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,5.0,false,false,false,0.4,5.0,2.0,0.4,Vraska the Unseen2,,,,,,,,true,,,,,,,,,,,,,,,,
"",,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,1.0,false,false,false,4.0,false,true,false,0.25,4.0,1.0,0.25,"Chandra, the Firebrand1",true,,,true,,,,,,,,,,,,,,,,,,,,
"",,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,5.0,false,false,false,0.4,5.0,2.0,0.4,Vraska the Unseen1,true,,,,,,,,,,,,true,,,,,,,,,,,
true,true,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,5.0,false,false,false,0.4,5.0,2.0,0.4,Vraska the Unseen3,,,,,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,6.0,false,true,false,0.33333334,6.0,2.0,0.33333334,"Chandra, Pyrogenius3",,,,true,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,6.0,false,true,false,0.33333334,6.0,2.0,0.33333334,"Chandra, Pyrogenius2",,,,true,,,,,,,,,,,,,,,,,,,,
"",,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,6.0,false,false,false,0.33333334,6.0,2.0,0.33333334,"Garruk, Caller of Beasts1",true,,,,,,,,,,,,,,,,,,,,,,,
true,,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,6.0,false,false,false,0.33333334,6.0,2.0,0.33333334,"Garruk, Caller of Beasts2",,,,,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,6.0,false,false,false,0.33333334,6.0,2.0,0.33333334,"Garruk, Caller of Beasts3",,,,,,,,,,,,,,true,,,,,,,,,,
true,true,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,4.0,false,false,false,0.5,4.0,2.0,0.5,Sarkhan Vol3,,,,,,,,,,,,,,,,,,,,,,,,
"",,1,2,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,4.0,false,false,false,0.5,4.0,2.0,0.5,Sarkhan Vol1,true,,,,true,true,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,4.0,false,false,false,0.5,4.0,2.0,0.5,Sarkhan Vol2,,,,,,,true,,,,,,,,,,,,,,,,,
"",,1,2,false,0.0,false,false,false,0.0,false,false,false,0.0,false,3.0,false,true,false,6.0,false,false,false,0.5,6.0,3.0,0.5,Sorin Markov1,true,,,true,,,,,,,,,,,true,,,,,,,,,
true,,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,3.0,false,true,false,6.0,false,false,false,0.5,6.0,3.0,0.5,Sorin Markov2,,,,,,,,,,,,,,,,,,,,,,,,
true,,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,3.0,false,true,false,6.0,false,false,false,0.5,6.0,3.0,0.5,Sorin Markov3,,,,,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,0.0,false,false,false,0.0,false,false,false,0.0,0.0,0.0,0.0,"Liliana, Defiant Necromancer2",,,,,,,,,,,true,,,,,,,,,,,,,
true,,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,0.0,false,false,false,0.0,false,false,false,0.0,0.0,0.0,0.0,"Liliana, Defiant Necromancer3",,,,,,,,,,,,,,,,,,,,,,,,
"",,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,0.0,false,false,false,0.0,false,false,false,0.0,0.0,0.0,0.0,"Liliana, Defiant Necromancer1",true,,,,,,,,,,,,,,,,,,,,,,,
"",,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,4.0,false,false,false,0.5,4.0,2.0,0.5,Garruk Wildspeaker1,true,,,,,,,,,,,,,,,,,,,,,,,
true,true,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,4.0,false,false,false,0.5,4.0,2.0,0.5,Garruk Wildspeaker2,,,,,,,,,,,,,,,,,,,,,,,,
true,,1,2,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,4.0,false,false,false,0.5,4.0,2.0,0.5,Garruk Wildspeaker3,,,,,true,true,,,,,,,,,,,,,,,,,,
true,,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,true,false,5.0,false,false,false,0.4,5.0,2.0,0.4,Liliana Vess3,,,,,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,true,false,5.0,false,false,false,0.4,5.0,2.0,0.4,Liliana Vess2,,,,,,,,,,,,,,true,,,,,,,,,,
"",,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,true,false,5.0,false,false,false,0.4,5.0,2.0,0.4,Liliana Vess1,true,,,,,,,,,,,,,,,,,,,,,,,
true,,1,2,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,4.0,false,false,false,0.5,4.0,2.0,0.5,Dovin Baan2,,,,,,,,,true,,,,,,true,,,,,,,,,
true,,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,4.0,false,false,false,0.5,4.0,2.0,0.5,Dovin Baan3,,,,,,,,,,,,,,,,,,,,,,,,
"",,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,4.0,false,false,false,0.5,4.0,2.0,0.5,Dovin Baan1,true,,,,,,,,,,,,,,,true,,,,,,,,
true,,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,0.0,false,false,false,8.0,false,false,false,0.0,8.0,0.0,0.0,"Ugin, the Spirit Dragon2",,,,,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,0.0,false,false,false,8.0,false,false,false,0.0,8.0,0.0,0.0,"Ugin, the Spirit Dragon3",,,,,,,,,,,,,,,true,,,,,,,,,
"",,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,0.0,false,false,false,8.0,false,false,false,0.0,8.0,0.0,0.0,"Ugin, the Spirit Dragon1",true,,,true,,,,,,,,,,,,,,,,,,,,
"",true,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,true,false,4.0,false,false,false,0.5,4.0,2.0,0.5,"Sorin, Lord of Innistrad1",true,,,,,,,,,,,,,,,,,,,,,,,
true,,1,2,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,true,false,4.0,false,false,false,0.5,4.0,2.0,0.5,"Sorin, Lord of Innistrad2",,,,,true,true,,,,,,,,,,,,,,,,,,
true,,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,true,false,4.0,false,false,false,0.5,4.0,2.0,0.5,"Sorin, Lord of Innistrad3",,,,,,,,,,,,,,,,,,,,,,,,
true,,1,2,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,4.0,true,false,false,0.5,4.0,2.0,0.5,Ajani Vengeant2,,,,true,,,,,,,,,,,true,,,,,,,,,
"",,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,4.0,true,false,false,0.5,4.0,2.0,0.5,Ajani Vengeant1,true,,,,,,,,,,,,,,,,,,,,,,,
true,,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,6.0,false,true,false,0.33333334,6.0,2.0,0.33333334,Chandra Ablaze2,,,,,,,,,,,,,,,,,,,,,,,,
true,,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,6.0,false,true,false,0.33333334,6.0,2.0,0.33333334,Chandra Ablaze3,,,,,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,4.0,true,false,false,0.5,4.0,2.0,0.5,Ajani Vengeant3,,,,,,,,,,,,,,,,,true,,,,,,,
"",,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,6.0,false,true,false,0.33333334,6.0,2.0,0.33333334,Chandra Ablaze1,true,,,true,,,,,,,,,,,,,,,,,,,,
"",,1,2,false,0.0,false,false,false,0.0,false,false,false,0.0,false,3.0,false,false,false,5.0,false,true,false,0.6,5.0,3.0,0.6,Sarkhan Unbroken1,true,,,,,,,,true,true,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,3.0,false,false,false,0.6666667,3.0,2.0,0.6666667,Domri Rade2,,,,,,,,,,,,,,,,,,true,,,,,,
"",,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,3.0,false,false,false,0.6666667,3.0,2.0,0.6666667,Domri Rade1,true,,,,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,3.0,false,false,false,5.0,false,true,false,0.6,5.0,3.0,0.6,Sarkhan Unbroken3,,,,,,,,,,,,,,true,,,,,,,,,,
true,true,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,3.0,false,false,false,5.0,false,true,false,0.6,5.0,3.0,0.6,Sarkhan Unbroken2,,,,,,,,,,,,,,,,,,,,,,,,
true,,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,5.0,false,false,false,0.4,5.0,2.0,0.4,"Tamiyo, the Moon Sage3",,,,,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,5.0,false,false,false,0.4,5.0,2.0,0.4,"Tamiyo, the Moon Sage2",,,,,,,,,true,,,,,,,,,,,,,,,
"",,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,5.0,false,false,false,0.4,5.0,2.0,0.4,"Tamiyo, the Moon Sage1",true,,,,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,3.0,false,false,false,0.6666667,3.0,2.0,0.6666667,Domri Rade3,,,,,,true,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,6.0,false,true,false,0.33333334,6.0,2.0,0.33333334,"Chandra, Flamecaller3",,,,true,,,,,,,,,,,,,,,,,,,,
true,,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,6.0,false,true,false,0.33333334,6.0,2.0,0.33333334,"Chandra, Flamecaller2",,,,,,,,,,,,,,,,,,,,,,,,
"",true,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,6.0,false,true,false,0.33333334,6.0,2.0,0.33333334,"Chandra, Flamecaller1",true,,,,,,,,,,,,,,,,,,,,,,,
"",,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,6.0,false,true,false,0.33333334,6.0,2.0,0.33333334,"Chandra, Pyrogenius1",true,,,true,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,4.0,false,false,false,0.5,4.0,2.0,0.5,"Jace, the Living Guildpact2",,,,,,,,,,,true,,,,,,,,,,,,,
true,,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,4.0,false,false,false,0.5,4.0,2.0,0.5,"Jace, the Living Guildpact3",,,,,,,,,,,,,,,,,,,,,,,,
"",,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,4.0,false,false,false,0.5,4.0,2.0,0.5,"Jace, the Living Guildpact1",true,,,,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,4.0,false,true,false,0.5,4.0,2.0,0.5,Koth of the Hammer3,,,,true,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,4.0,false,true,false,0.5,4.0,2.0,0.5,Koth of the Hammer2,,,,,,,,,,true,,,,,,,,,,,,,,
"",,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,4.0,false,true,false,0.5,4.0,2.0,0.5,Koth of the Hammer1,true,,,,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,4.0,true,false,false,0.5,4.0,2.0,0.5,Ajani Goldmane2,,,,,,,,,,,,,,,,,,,true,,,,,
true,true,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,4.0,true,false,false,0.5,4.0,2.0,0.5,Ajani Goldmane3,,,,,,,,,,,,,,,,,,,,,,,,
"",,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,4.0,true,false,false,0.5,4.0,2.0,0.5,Ajani Goldmane1,true,,,,,,,,,,,,,,true,,,,,,,,,
true,,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,4.0,false,false,false,0.5,4.0,2.0,0.5,"Jace, Architect of Thought2",,,,,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,4.0,false,false,false,0.5,4.0,2.0,0.5,"Jace, Architect of Thought3",,,,,,,,,,,,,,true,,,,,,,,,,
"",,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,4.0,false,false,false,0.5,4.0,2.0,0.5,"Jace, Architect of Thought1",true,,,,,,,,,,,,,,,true,,,,,,,,
"",,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,4.0,false,false,false,0.5,4.0,2.0,0.5,Nissa Revane2,true,,,,,,,,,,,,,,true,,,,,,,,,
"",,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,4.0,false,false,false,0.5,4.0,2.0,0.5,Nissa Revane1,true,,,,,,,,,,,,,true,,,,,,,,,,
"",,1,2,false,0.0,false,false,false,0.0,false,false,false,0.0,false,1.0,false,false,false,4.0,true,false,false,0.25,4.0,1.0,0.25,Ajani Steadfast1,true,,,,true,,true,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,1.0,false,false,false,4.0,true,false,false,0.25,4.0,1.0,0.25,Ajani Steadfast3,,,,,,,,,,,,,,,,,,,,true,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,1.0,false,false,false,4.0,true,false,false,0.25,4.0,1.0,0.25,Ajani Steadfast2,,,,,,,,,,,,,,,,,,,true,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,4.0,false,false,false,0.5,4.0,2.0,0.5,Nissa Revane3,,,,,,,,,,,,,,true,,,,,,,,,,
"",,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,6.0,false,false,false,0.33333334,6.0,2.0,0.33333334,"Teferi, Temporal Archmage1",true,,,,,,,,,,,,,,,,,,,,,,,
true,,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,6.0,false,false,false,0.33333334,6.0,2.0,0.33333334,"Teferi, Temporal Archmage2",,,,,,,,,,,,,,,,,,,,,,,,
"",,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,0.0,false,false,false,7.0,false,false,false,0.0,7.0,0.0,0.0,Karn Liberated1,true,,,,,,,,,,,,,,,,,,,,,,,
true,,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,6.0,false,false,false,0.33333334,6.0,2.0,0.33333334,"Teferi, Temporal Archmage3",,,,,,,,,,,,,,,,,,,,,,,,
"",,0,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,6.0,false,false,false,0.33333334,6.0,2.0,0.33333334,"Teferi, Temporal Archmage4",,,,,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,0.0,false,false,false,7.0,false,false,false,0.0,7.0,0.0,0.0,Karn Liberated3,,,,,,,,,,,,,,,,,,,,,true,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,0.0,false,false,false,7.0,false,false,false,0.0,7.0,0.0,0.0,Karn Liberated2,,true,,,,,,,,,,,,,,,,,,,,,,
true,true,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,4.0,false,false,false,0.5,4.0,2.0,0.5,Arlinn Kord2,,,,,,,,,,,,,,,,,,,,,,,,
"",,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,1.0,false,false,false,4.0,false,true,false,0.25,4.0,1.0,0.25,"Daretti, Scrap Savant1",true,,,,,,,,,,,,,,,,,,,,,,,
true,true,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,3.0,false,true,false,0.6666667,3.0,2.0,0.6666667,"Daretti, Ingenious Iconoclast3",,,,,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,1.0,false,false,false,4.0,false,true,false,0.25,4.0,1.0,0.25,"Daretti, Scrap Savant2",,,,,,,,,,,true,,,,,,,,,,,,,
